Date,Race Number,Place,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declare. Horse Wt.,Draw,LBW,Running Position,Finish Time,Win Odds
23/10/2019,9,7,10,PRANCE DRAGONPRANCE DRAGON(B349),G van NiekerkG van Niekerk,A T MillardA T Millard,117,1095,9,3-1/4,"['8', '5', '7']",1:09.75,25
23/10/2019,9,8,2,WATER DIVINERWATER DIVINER(V356),M ChadwickM Chadwick,K W LuiK W Lui,129,1188,7,3-3/4,"['11', '12', '8']",1:09.86,12
23/10/2019,9,9,11,STORM SIGNALSTORM SIGNAL(B055),M L YeungM L Yeung,D J WhyteD J Whyte,117,1179,4,4-1/2,"['5', '6', '9']",1:09.98,51
23/10/2019,9,10,4,RACING FIGHTERRACING FIGHTER(B285),B ShinnB Shinn,C H YipC H Yip,127,1149,6,5-1/4,"['9', '8', '10']",1:10.07,39
23/10/2019,9,11,7,LOVING A BOOMLOVING A BOOM(C122),K C LeungK C Leung,R GibsonR Gibson,120,1189,11,5-1/4,"['3', '3', '11']",1:10.08,9.7
23/10/2019,9,12,8,SPEED VISIONSPEED VISION(B211),C SchofieldC Schofield,F C LorF C Lor,123,1165,12,6-1/4,"['1', '1', '12']",1:10.24,75
23/10/2019,9,WV,,SUNNY BOYSUNNY BOY(A379),C SchofieldC Schofield,J MooreJ Moore,120,---,---,---,---,---,---
20/10/2019,1,1,9,BLAZING PARTNERSBLAZING PARTNERS(B071),U RispoliU Rispoli,D E FerrarisD E Ferraris,127,1086,11,-,"['14', '13', '11', '1']",1:21.87,7.8
20/10/2019,1,2,14,VICTORIOUS LEADERVICTORIOUS LEADER(B288),Z PurtonZ Purton,C H YipC H Yip,120,1018,1,N,"['8', '6', '5', '2']",1:21.94,3.4
20/10/2019,1,3,5,EVERYONE'S ELITEEVERYONE'S ELITE(B074),C SchofieldC Schofield,K L ManK L Man,128,1152,3,1-1/4,"['12', '8', '9', '3']",1:22.07,24
20/10/2019,1,4,1,BLOOMING SPIRITBLOOMING SPIRIT(C064),J MoreiraJ Moreira,F C LorF C Lor,129,1122,7,2-3/4,"['4', '4', '3', '4']",1:22.33,5.8
20/10/2019,1,5,11,BIG BULLYBIG BULLY(B028),N CallanN Callan,D J HallD J Hall,125,1155,9,3-1/4,"['5', '9', '7', '5']",1:22.39,8.4
20/10/2019,1,6,4,KWAI CHUNG ELITEKWAI CHUNG ELITE(C173),B ShinnB Shinn,R GibsonR Gibson,129,1128,5,3-1/2,"['10', '10', '10', '6']",1:22.42,11
20/10/2019,1,7,12,MAJESTIC ENDEAVOURMAJESTIC ENDEAVOUR(A399),A DomeyerA Domeyer,C FownesC Fownes,123,1174,8,3-3/4,"['2', '1', '1', '7']",1:22.46,20
20/10/2019,1,8,6,I'M THE CONQUISTI'M THE CONQUIST(B155),M ChadwickM Chadwick,D J WhyteD J Whyte,128,1074,12,4-1/4,"['6', '5', '4', '8']",1:22.57,10
20/10/2019,1,9,10,HARBOUR CENTURYHARBOUR CENTURY(A407),G van NiekerkG van Niekerk,C W ChangC W Chang,126,1176,10,5-3/4,"['13', '12', '12', '9']",1:22.80,18
20/10/2019,1,10,3,FLYING NOBLEFLYING NOBLE(A267),M L YeungM L Yeung,T P YungT P Yung,129,1215,13,7-1/4,"['1', '2', '2', '10']",1:23.04,15
20/10/2019,1,11,2,RED BRICK FIGHTERRED BRICK FIGHTER(C304),C Y HoC Y Ho,C S ShumC S Shum,123,1057,4,8,"['3', '3', '6', '11']",1:23.17,45
20/10/2019,1,12,13,KING MORTARKING MORTAR(A097),T H SoT H So,L HoL Ho,117,1140,2,10-1/4,"['7', '7', '8', '12']",1:23.50,66
20/10/2019,1,13,8,SUPREME WITNESSSUPREME WITNESS(A357),K TeetanK Teetan,A S CruzA S Cruz,128,1270,14,11-3/4,"['11', '14', '14', '13']",1:23.75,13
20/10/2019,1,14,7,IRON BRAVOIRON BRAVO(C012),M F PoonM F Poon,W Y SoW Y So,126,1114,6,15-1/2,"['9', '11', '13', '14']",1:24.35,125
20/10/2019,1,WV,,DIVINE POWERDIVINE POWER(C175),H T MoH T Mo,P F YiuP F Yiu,126,---,---,---,---,---,---
20/10/2019,2,1,1,BIG FORTUNEBIG FORTUNE(B220),K H ChanK H Chan,D J WhyteD J Whyte,123,1049,2,-,"['2', '2', '1']",1:08.46,4.6
20/10/2019,2,2,3,QUADRUPLE DOUBLEQUADRUPLE DOUBLE(B250),B ShinnB Shinn,D J HallD J Hall,131,1104,1,3/4,"['1', '1', '2']",1:08.59,3
20/10/2019,2,3,9,SUPER ALLIANCESSUPER ALLIANCES(C472),U RispoliU Rispoli,J SizeJ Size,125,1027,4,2-1/2,"['4', '3', '3']",1:08.86,14
20/10/2019,2,4,13,MASTER ALBERTMASTER ALBERT(A296),K TeetanK Teetan,W Y SoW Y So,119,1129,11,2-3/4,"['5', '5', '4']",1:08.91,17
20/10/2019,2,5,2,WINSTON'S LADWINSTON'S LAD(T348),C Y HoC Y Ho,K W LuiK W Lui,133,1085,3,3,"['7', '6', '5']",1:08.95,7.2
20/10/2019,2,6,6,YICHUN BLITZYICHUN BLITZ(C026),J MoreiraJ Moreira,K H TingK H Ting,126,1169,14,5-1/2,"['6', '7', '6']",1:09.34,5.9
20/10/2019,2,7,5,JUDY'S STARJUDY'S STAR(C311),Z PurtonZ Purton,P O'SullivanP O'Sullivan,126,1112,9,6-1/2,"['12', '11', '7']",1:09.50,6.9
20/10/2019,2,8,10,VIGOR CHAMPVIGOR CHAMP(C498),M L YeungM L Yeung,T P YungT P Yung,125,1024,13,7-3/4,"['13', '13', '8']",1:09.68,257
